昵称,性别,时间,点赞量,评论,IP属地,二级评论条数,等级,uid,rpid
仓鼠秋秋,保密,2023-05-21 15:43:20 北京时间,649,景元谈及素裳的时候，说自己也曾有无忧无虑的日子，虽然已经过去很久了……他在听见彦卿说想成为将军一样的人时，也打趣他说那有什么好的；可他看到了少年的决心，又举重若轻地和他过起了招[保卫萝卜_哭哭]也许这就是云骑人的必经之路吧，少年时意气风发，青年时历经磨难，待到稳住一方之时，又会倾囊相授于后来者，为他们引好以后的路。景元的一生没有平常话本里节外生枝的苦难，有的只是顺应命运和时局的决断，却也能让看故事的人为之动容。这大概就是游戏里和游戏外的人都爱他的缘故吧,北京,0,6,142783771,166347190080
南城愁客,保密,2023-05-21 14:52:48 北京时间,34,0+1景元厨来看看,广东,0,6,25430819,166337929184
亲一口喵一声啊,女,2023-05-21 13:00:00 北京时间,520,景元你等着，👴🏻一定攒石头把师傅给娶回来，让你们在👴🏻的车里团聚,湖北,15,6,10050394,166317833424
AR璨,保密,2023-05-22 14:54:10 北京时间,25,这么强的二创，那这个游戏一定过了好多个版本吧？[星尘的新年祝福_哦哦~],新疆,1,6,354516773,166490556368
第四の天灾,保密,2023-05-21 12:59:44 北京时间,405,"感觉……就特别像玄幻修仙文主角。,年少无知可爱，有师傅谆谆教导，习得正道；后来师傅堕入魔道，在万般取舍前斩断前缘，成就一番宏图。,花开花落，人们安居乐业；沧海桑田，故人现在何方？,又是一个轮回，练剑的少年挥洒汗水，在夕阳的余晖下一剑剑刺向木桩，他的师傅在一旁，双眸微眯，享受着盛世安宁。,若有一天，我也堕入魔道，不要对我手下留情。,（结合玄幻等小说的故事，不是完全是原剧情哈，不喜勿喷）[doge]",湖北,0,5,354906422,166317954896
Carnelian-璀璨的红玛瑙,保密,2023-05-21 18:04:26 北京时间,23,"镜心流转,飞元景逝,谁曾言最高远之月不是夜中最亲近之物？,谁曾言玩世不恭的笑容中暗含多少苦涩？,流光，飞光，轮转，百回,然而宿命依旧，斯人不再",新疆,0,6,333188387,166363412528
罪業紅蓮,保密,2023-05-21 13:55:55 北京时间,313,"又又又又又一次跟各位佬，参与了绘制……,画之前：白毛没兴趣不抽  画完以后：这版本没内容了也好我只想上线看会老婆jpg  画着画着多了个老婆的人竟是我自己。。,以及真的受不了师徒传承刀…刀的很好，建议下次还刀，我还能吃！！[暹罗猫小豆泥_呆滞][暹罗猫小豆泥_呆滞][暹罗猫小豆泥_呆滞]",北京,1,6,8409738,166327131456
开飞机的旋子,女,2023-05-21 16:04:19 北京时间,22,这次的我 ，主打一个辅助勾线[崩坏3_饿了],未知,1,6,19221971,166350702272
氕氘氚森林,保密,2023-05-21 15:48:14 北京时间,22,"结尾BGM景明，[给心心]曲子是关大洲老师谱的！非常好听！看着关大洲老师的份上，大家可以去听试试[给心心][给心心],景元用景明，哈哈哈景家人用景家曲，这何尝不是一种缘分呢！[汤圆][热词系列_妙啊]",云南,0,6,87466686,166348075328
fluorite2041,保密,2023-05-21 13:26:51 北京时间,279,感觉这个是堕魔是轮回不起来的，毕竟景元现在是巡猎令使[笑哭]，如果堕入魔阴神君直接出手不给彦卿机会，如果按pv要出现师徒两人硬要刀一个的局面，更可能是彦卿堕入魔阴（可能是星核或者药物影响）。当然师徒两人推测的🔪目前唯一证据还是pv，更可能只是pv欺诈[doge],重庆,5,6,277399035,166322251888
往生少女胡桃酱,女,2023-05-21 15:33:42 北京时间,344,其实让我很感慨的是最后那几幕，历经了岁月沧桑变化和故人离散，景元一个人坐在棋桌前有些落寞的下着棋，但少年出现了，打破了他的落寞，如泥酣眠中有写到，景元已经习惯了不变，而彦卿让他感觉到了变化，或许彦卿对他来说也是个“变量”，故人已逝，但还好有少年为他带来勃勃的生机，让他不孤单，旧物已逝但生活一直往前，总会有新事物拉着你朝前走,湖北,3,5,677365093,166345625664
汨罗红,男,2023-06-19 12:20:07 北京时间,21,景元将军一直不退休，一直坚持的等待，可能都是为了保持师傅还在的时候那一丝丝的感觉吧，因为师傅还在时我是将军，所以我便一直当，因为师傅还在时她教会一个男孩剑法，于是我也教，因为师傅还在时护卫仙舟，于是我便一直守护。等待，等待，等待那终末的时刻，等待延卿做着我八百年前做过的事情。然后一闭一睁眼，让忍耐了八百年的我痛哭着大喊一声：“师傅！”,黑龙江,0,6,334839483,170758225296
